datetime,close,MA5,MA20,MA5 >= MA20,Position,TradeP&L,PositionP&L,CumP&L,Capital,Return,NetAssetValue,NetAssetValue2
2020/4/17 9:29,3832,,,,0,0,0,0,10000,0,1,1
2020/4/17 9:30,3830,,,,0,0,0,0,10000,0,1,1
2020/4/17 9:31,3829.4,,,,0,0,0,0,10000,0,1,1
2020/4/17 9:32,3830.4,,,,0,0,0,0,10000,0,1,1
2020/4/17 9:33,3828.8,3830.12,,,0,0,0,0,10000,0,1,1
2020/4/17 9:34,3827.4,3829.2,,,0,0,0,0,10000,0,1,1
2020/4/17 9:35,3827.6,3828.72,,,0,0,0,0,10000,0,1,1
2020/4/17 9:36,3826,3828.04,,,0,0,0,0,10000,0,1,1
2020/4/17 9:37,3823.4,3826.64,,,0,0,0,0,10000,0,1,1
2020/4/17 9:38,3825.4,3825.96,,,0,0,0,0,10000,0,1,1
2020/4/17 9:39,3827.2,3825.92,,,0,0,0,0,10000,0,1,1
2020/4/17 9:40,3826.2,3825.64,,,0,0,0,0,10000,0,1,1
2020/4/17 9:41,3825,3825.44,,,0,0,0,0,10000,0,1,1
2020/4/17 9:42,3823.6,3825.48,,,0,0,0,0,10000,0,1,1
2020/4/17 9:43,3824.6,3825.32,,,0,0,0,0,10000,0,1,1
2020/4/17 9:44,3826,3825.08,,,0,0,0,0,10000,0,1,1
2020/4/17 9:45,3827,3825.24,,,0,0,0,0,10000,0,1,1
2020/4/17 9:46,3834.2,3827.08,,,0,0,0,0,10000,0,1,1
2020/4/17 9:47,3838.8,3830.12,,,0,0,0,0,10000,0,1,1
2020/4/17 9:48,3843.4,3833.88,3828.82,TRUE,1,-46,46,0,10000,0,1,1
2020/4/17 9:49,3841,3836.88,3829.27,TRUE,1,0,-24,-24,9976,-0.0024,0.9976,0.9976
2020/4/17 9:50,3839.6,3839.4,3829.75,TRUE,1,0,-14,-38,9962,-0.001403368,0.9962,0.9962
2020/4/17 9:51,3840.2,3840.6,3830.29,TRUE,1,0,6,-32,9968,0.000602289,0.9968,0.9968
2020/4/17 9:52,3842.4,3841.32,3830.89,TRUE,1,0,22,-10,9990,0.002207063,0.999,0.999
2020/4/17 9:53,3838.4,3840.32,3831.37,TRUE,1,0,-40,-50,9950,-0.004004004,0.995,0.995
2020/4/17 9:54,3837.4,3839.6,3831.87,TRUE,1,0,-10,-60,9940,-0.001005025,0.994,0.994
2020/4/17 9:55,3838,3839.28,3832.39,TRUE,1,0,6,-54,9946,0.000603622,0.9946,0.9946
2020/4/17 9:56,3840.4,3839.32,3833.11,TRUE,1,0,24,-30,9970,0.00241303,0.997,0.997
2020/4/17 9:57,3840.2,3838.88,3833.95,TRUE,1,0,-2,-32,9968,-0.000200602,0.9968,0.9968
2020/4/17 9:58,3840.2,3839.24,3834.69,TRUE,1,0,0,-32,9968,0,0.9968,0.9968
2020/4/17 9:59,3840.8,3839.92,3835.37,TRUE,1,0,6,-26,9974,0.000601926,0.9974,0.9974
2020/4/17 10:00,3836.6,3839.64,3835.89,TRUE,1,0,-42,-68,9932,-0.004210948,0.9932,0.9932
2020/4/17 10:01,3830.2,3837.6,3836.15,TRUE,1,0,-64,-132,9868,-0.006443818,0.9868,0.9868
2020/4/17 10:02,3834.6,3836.48,3836.7,FALSE,-1,88,-44,-88,9912,0.004458857,0.9912,0.9912
2020/4/17 10:03,3843.2,3837.08,3837.63,FALSE,-1,0,-86,-174,9826,-0.008676352,0.9826,0.9826
2020/4/17 10:04,3842,3837.32,3838.43,FALSE,-1,0,12,-162,9838,0.00122125,0.9838,0.9838
2020/4/17 10:05,3841.6,3838.32,3839.16,FALSE,-1,0,4,-158,9842,0.000406587,0.9842,0.9842
2020/4/17 10:06,3844.2,3841.12,3839.66,TRUE,1,-52,26,-184,9816,-0.002641739,0.9816,0.9816
2020/4/17 10:07,3842.6,3842.72,3839.85,TRUE,1,0,-16,-200,9800,-0.001629992,0.98,0.98
2020/4/17 10:08,3842.4,3842.56,3839.8,TRUE,1,0,-2,-202,9798,-0.000204082,0.9798,0.9798
2020/4/17 10:09,3840.8,3842.32,3839.79,TRUE,1,0,-16,-218,9782,-0.001632986,0.9782,0.9782
2020/4/17 10:10,3843.6,3842.72,3839.99,TRUE,1,0,28,-190,9810,0.0028624,0.981,0.981
2020/4/17 10:11,3845,3842.88,3840.23,TRUE,1,0,14,-176,9824,0.001427115,0.9824,0.9824
2020/4/17 10:12,3841.2,3842.6,3840.17,TRUE,1,0,-38,-214,9786,-0.003868078,0.9786,0.9786
2020/4/17 10:13,3843.4,3842.8,3840.42,TRUE,1,0,22,-192,9808,0.00224811,0.9808,0.9808
2020/4/17 10:14,3843.2,3843.28,3840.71,TRUE,1,0,-2,-194,9806,-0.000203915,0.9806,0.9806
2020/4/17 10:29,3846.6,3843.88,3841.14,TRUE,1,0,34,-160,9840,0.003467265,0.984,0.984
2020/4/17 10:30,3846,3844.08,3841.42,TRUE,1,0,-6,-166,9834,-0.000609756,0.9834,0.9834
2020/4/17 10:31,3847.2,3845.28,3841.77,TRUE,1,0,12,-154,9846,0.001220256,0.9846,0.9846
2020/4/17 10:32,3850,3846.6,3842.26,TRUE,1,0,28,-126,9874,0.002843794,0.9874,0.9874
2020/4/17 10:33,3847,3847.36,3842.57,TRUE,1,0,-30,-156,9844,-0.003038282,0.9844,0.9844
2020/4/17 10:34,3846.4,3847.32,3843.06,TRUE,1,0,-6,-162,9838,-0.000609508,0.9838,0.9838
