datetime,close,MA5,MA20,MA5 >= MA20,Position,TradeP&L,PositionP&L,CumP&L,Capital,Return,NetAssetValue,NetAssetValue2
11/30/18 21:00,3241,,,,0,0,0,0,10000,0,1,1
11/30/18 21:01,3244,,,,0,0,0,0,10000,0,1,1
11/30/18 21:02,3241,,,,0,0,0,0,10000,0,1,1
11/30/18 21:03,3243,,,,0,0,0,0,10000,0,1,1
11/30/18 21:04,3243,3242.4,,,0,0,0,0,10000,0,1,1
11/30/18 21:05,3237,3241.6,,,0,0,0,0,10000,0,1,1
11/30/18 21:06,3236,3240,,,0,0,0,0,10000,0,1,1
11/30/18 21:07,3227,3237.2,,,0,0,0,0,10000,0,1,1
11/30/18 21:08,3229,3234.4,,,0,0,0,0,10000,0,1,1
11/30/18 21:09,3231,3232,,,0,0,0,0,10000,0,1,1
11/30/18 21:10,3222,3229,,,0,0,0,0,10000,0,1,1
11/30/18 21:11,3227,3227.2,,,0,0,0,0,10000,0,1,1
11/30/18 21:12,3226,3227,,,0,0,0,0,10000,0,1,1
11/30/18 21:13,3226,3226.4,,,0,0,0,0,10000,0,1,1
11/30/18 21:14,3226,3225.4,,,0,0,0,0,10000,0,1,1
11/30/18 21:15,3231,3227.2,,,0,0,0,0,10000,0,1,1
11/30/18 21:16,3228,3227.4,,,0,0,0,0,10000,0,1,1
11/30/18 21:17,3231,3228.4,,,0,0,0,0,10000,0,1,1
11/30/18 21:18,3233,3229.8,,,0,0,0,0,10000,0,1,1
11/30/18 21:19,3233,3231.2,3232.75,FALSE,-1,0,0,0,10000,0,1,1
11/30/18 21:20,3228,3230.6,3232.1,FALSE,-1,0,50,50,10050,0.005,1.005,1.005
11/30/18 21:21,3232,3231.4,3231.5,FALSE,-1,0,-40,10,10010,-0.0039801,1.001,1.001
11/30/18 21:22,3230,3231.2,3230.95,TRUE,1,40,-20,30,10030,0.001998002,1.003,1.003
11/30/18 21:23,3228,3230.2,3230.2,TRUE,1,0,-20,10,10010,-0.001994018,1.001,1.001
11/30/18 21:24,3229,3229.4,3229.5,FALSE,-1,20,-10,20,10020,0.000999001,1.002,1.002
11/30/18 21:25,3226,3229,3228.95,TRUE,1,60,-30,50,10050,0.002994012,1.005,1.005
11/30/18 21:26,3227,3228,3228.5,FALSE,-1,20,-10,60,10060,0.000995025,1.006,1.006
11/30/18 21:27,3225,3227,3228.4,FALSE,-1,0,20,80,10080,0.001988072,1.008,1.008
11/30/18 21:28,3228,3227,3228.35,FALSE,-1,0,-30,50,10050,-0.00297619,1.005,1.005
11/30/18 21:29,3224,3226,3228,FALSE,-1,0,40,90,10090,0.0039801,1.009,1.009
11/30/18 21:30,3226,3226,3228.2,FALSE,-1,0,-20,70,10070,-0.001982161,1.007,1.007
11/30/18 21:31,3225,3225.6,3228.1,FALSE,-1,0,10,80,10080,0.000993049,1.008,1.008
11/30/18 21:32,3227,3226,3228.15,FALSE,-1,0,-20,60,10060,-0.001984127,1.006,1.006
11/30/18 21:33,3226,3225.6,3228.15,FALSE,-1,0,10,70,10070,0.000994036,1.007,1.007
11/30/18 21:34,3231,3227,3228.4,FALSE,-1,0,-50,20,10020,-0.004965243,1.002,1.002
11/30/18 21:35,3229,3227.6,3228.3,FALSE,-1,0,20,40,10040,0.001996008,1.004,1.004
11/30/18 21:36,3230,3228.6,3228.4,TRUE,1,-20,10,30,10030,-0.000996016,1.003,1.003
11/30/18 21:37,3224,3228,3228.05,FALSE,-1,-120,60,-30,9970,-0.005982054,0.997,0.997
11/30/18 21:38,3223,3227.4,3227.55,FALSE,-1,0,10,-20,9980,0.001003009,0.998,0.998
11/30/18 21:39,3225,3226.2,3227.15,FALSE,-1,0,-20,-40,9960,-0.002004008,0.996,0.996
11/30/18 21:40,3224,3225.2,3226.95,FALSE,-1,0,10,-30,9970,0.001004016,0.997,0.997
11/30/18 21:41,3222,3223.6,3226.45,FALSE,-1,0,20,-10,9990,0.002006018,0.999,0.999
11/30/18 21:42,3224,3223.6,3226.15,FALSE,-1,0,-20,-30,9970,-0.002002002,0.997,0.997
11/30/18 21:43,3222,3223.4,3225.85,FALSE,-1,0,20,-10,9990,0.002006018,0.999,0.999
11/30/18 21:44,3220,3222.4,3225.4,FALSE,-1,0,20,10,10010,0.002002002,1.001,1.001
11/30/18 21:45,3216,3220.8,3224.9,FALSE,-1,0,40,50,10050,0.003996004,1.005,1.005
11/30/18 21:46,3216,3219.6,3224.35,FALSE,-1,0,0,50,10050,0,1.005,1.005
11/30/18 21:47,3218,3218.4,3224,FALSE,-1,0,-20,30,10030,-0.00199005,1.003,1.003
11/30/18 21:48,3216,3217.2,3223.4,FALSE,-1,0,20,50,10050,0.001994018,1.005,1.005
11/30/18 21:49,3216,3216.4,3223,FALSE,-1,0,0,50,10050,0,1.005,1.005
11/30/18 21:50,3222,3217.6,3222.8,FALSE,-1,0,-60,-10,9990,-0.005970149,0.999,0.999
11/30/18 21:51,3220,3218.4,3222.55,FALSE,-1,0,20,10,10010,0.002002002,1.001,1.001
11/30/18 21:52,3221,3219,3222.25,FALSE,-1,0,-10,0,10000,-0.000999001,1,1
11/30/18 21:53,3219,3219.6,3221.9,FALSE,-1,0,20,20,10020,0.002,1.002,1.002
11/30/18 21:54,3221,3220.6,3221.4,FALSE,-1,0,-20,0,10000,-0.001996008,1,1
11/30/18 21:55,3225,3221.2,3221.2,TRUE,1,-80,40,-40,9960,-0.004,0.996,0.996
11/30/18 21:56,3220,3221.2,3220.7,TRUE,1,0,-50,-90,9910,-0.00502008,0.991,0.991
11/30/18 21:57,3222,3221.4,3220.6,TRUE,1,0,20,-70,9930,0.002018163,0.993,0.993
11/30/18 21:58,3218,3221.2,3220.35,TRUE,1,0,-40,-110,9890,-0.004028197,0.989,0.989
11/30/18 21:59,3219,3220.8,3220.05,TRUE,1,0,10,-100,9900,0.001011122,0.99,0.99
11/30/18 22:00,3217,3219.2,3219.7,FALSE,-1,-40,20,-120,9880,-0.002020202,0.988,0.988
11/30/18 22:01,3215,3218.2,3219.35,FALSE,-1,0,20,-100,9900,0.002024291,0.99,0.99
11/30/18 22:02,3214,3216.6,3218.85,FALSE,-1,0,10,-90,9910,0.001010101,0.991,0.991
11/30/18 22:03,3211,3215.2,3218.3,FALSE,-1,0,30,-60,9940,0.003027245,0.994,0.994
11/30/18 22:04,3215,3214.4,3218.05,FALSE,-1,0,-40,-100,9900,-0.004024145,0.99,0.99
11/30/18 22:05,3210,3213,3217.75,FALSE,-1,0,50,-50,9950,0.005050505,0.995,0.995
11/30/18 22:06,3216,3213.2,3217.75,FALSE,-1,0,-60,-110,9890,-0.006030151,0.989,0.989
11/30/18 22:07,3215,3213.4,3217.6,FALSE,-1,0,10,-100,9900,0.001011122,0.99,0.99
11/30/18 22:08,3212,3213.6,3217.4,FALSE,-1,0,30,-70,9930,0.003030303,0.993,0.993
11/30/18 22:09,3215,3213.6,3217.35,FALSE,-1,0,-30,-100,9900,-0.003021148,0.99,0.99
11/30/18 22:10,3216,3214.8,3217.05,FALSE,-1,0,-10,-110,9890,-0.001010101,0.989,0.989
11/30/18 22:11,3218,3215.2,3216.95,FALSE,-1,0,-20,-130,9870,-0.002022245,0.987,0.987
11/30/18 22:12,3220,3216.2,3216.9,FALSE,-1,0,-20,-150,9850,-0.002026342,0.985,0.985
11/30/18 22:13,3222,3218.2,3217.05,TRUE,1,-40,20,-170,9830,-0.002030457,0.983,0.983
11/30/18 22:14,3223,3219.8,3217.15,TRUE,1,0,10,-160,9840,0.001017294,0.984,0.984
11/30/18 22:15,3221,3220.8,3216.95,TRUE,1,0,-20,-180,9820,-0.00203252,0.982,0.982
11/30/18 22:16,3219,3221,3216.9,TRUE,1,0,-20,-200,9800,-0.00203666,0.98,0.98
11/30/18 22:17,3218,3220.6,3216.7,TRUE,1,0,-10,-210,9790,-0.001020408,0.979,0.979
11/30/18 22:18,3217,3219.6,3216.65,TRUE,1,0,-10,-220,9780,-0.00102145,0.978,0.978
11/30/18 22:19,3217,3218.4,3216.55,TRUE,1,0,0,-220,9780,0,0.978,0.978
11/30/18 22:20,3218,3217.8,3216.6,TRUE,1,0,10,-210,9790,0.001022495,0.979,0.979
11/30/18 22:21,3216,3217.2,3216.65,TRUE,1,0,-20,-230,9770,-0.002042901,0.977,0.977
11/30/18 22:22,3216,3216.8,3216.75,TRUE,1,0,0,-230,9770,0,0.977,0.977
11/30/18 22:23,3216,3216.6,3217,FALSE,-1,0,0,-230,9770,0,0.977,0.977
11/30/18 22:24,3219,3217,3217.2,FALSE,-1,0,-30,-260,9740,-0.003070624,0.974,0.974
11/30/18 22:25,3221,3217.6,3217.75,FALSE,-1,0,-20,-280,9720,-0.002053388,0.972,0.972
11/30/18 22:26,3218,3218,3217.85,TRUE,1,60,-30,-250,9750,0.00308642,0.975,0.975
11/30/18 22:27,3219,3218.6,3218.05,TRUE,1,0,10,-240,9760,0.001025641,0.976,0.976
11/30/18 22:28,3219,3219.2,3218.4,TRUE,1,0,0,-240,9760,0,0.976,0.976
11/30/18 22:29,3215,3218.4,3218.4,TRUE,1,0,-40,-280,9720,-0.004098361,0.972,0.972
11/30/18 22:30,3217,3217.6,3218.45,FALSE,-1,40,-20,-260,9740,0.002057613,0.974,0.974
11/30/18 22:31,3220,3218,3218.55,FALSE,-1,0,-30,-290,9710,-0.003080082,0.971,0.971
11/30/18 22:32,3219,3218,3218.5,FALSE,-1,0,10,-280,9720,0.001029866,0.972,0.972
11/30/18 22:33,3218,3217.8,3218.3,FALSE,-1,0,10,-270,9730,0.001028807,0.973,0.973
11/30/18 22:34,3217,3218.2,3218,TRUE,1,20,-10,-260,9740,0.001027749,0.974,0.974
11/30/18 22:35,3219,3218.6,3217.9,TRUE,1,0,20,-240,9760,0.002053388,0.976,0.976
11/30/18 22:36,3220,3218.6,3217.95,TRUE,1,0,10,-230,9770,0.00102459,0.977,0.977
11/30/18 22:37,3219,3218.6,3218,TRUE,1,0,-10,-240,9760,-0.001023541,0.976,0.976
11/30/18 22:38,3221,3219.2,3218.2,TRUE,1,0,20,-220,9780,0.00204918,0.978,0.978
11/30/18 22:39,3223,3220.4,3218.5,TRUE,1,0,20,-200,9800,0.00204499,0.98,0.98
11/30/18 22:40,3231,3222.8,3219.15,TRUE,1,0,80,-120,9880,0.008163265,0.988,0.988
11/30/18 22:41,3227,3224.2,3219.7,TRUE,1,0,-40,-160,9840,-0.004048583,0.984,0.984
11/30/18 22:42,3225,3225.4,3220.15,TRUE,1,0,-20,-180,9820,-0.00203252,0.982,0.982
11/30/18 22:43,3223,3225.8,3220.5,TRUE,1,0,-20,-200,9800,-0.00203666,0.98,0.98
11/30/18 22:44,3226,3226.4,3220.85,TRUE,1,0,30,-170,9830,0.003061224,0.983,0.983
11/30/18 22:45,3227,3225.6,3221.15,TRUE,1,0,10,-160,9840,0.001017294,0.984,0.984
11/30/18 22:46,3228,3225.8,3221.65,TRUE,1,0,10,-150,9850,0.00101626,0.985,0.985
11/30/18 22:47,3227,3226.2,3222.05,TRUE,1,0,-10,-160,9840,-0.001015228,0.984,0.984
11/30/18 22:48,3227,3227,3222.45,TRUE,1,0,0,-160,9840,0,0.984,0.984
11/30/18 22:49,3227,3227.2,3223.05,TRUE,1,0,0,-160,9840,0,0.984,0.984
11/30/18 22:50,3225,3226.8,3223.45,TRUE,1,0,-20,-180,9820,-0.00203252,0.982,0.982
11/30/18 22:51,3230,3227.2,3223.95,TRUE,1,0,50,-130,9870,0.00509165,0.987,0.987
11/30/18 22:52,3241,3230,3225.05,TRUE,1,0,110,-20,9980,0.011144883,0.998,0.998
11/30/18 22:53,3248,3234.2,3226.55,TRUE,1,0,70,50,10050,0.007014028,1.005,1.005
11/30/18 22:54,3253,3239.4,3228.35,TRUE,1,0,50,100,10100,0.004975124,1.01,1.01
11/30/18 22:55,3246,3243.6,3229.7,TRUE,1,0,-70,30,10030,-0.006930693,1.003,1.003
11/30/18 22:56,3256,3248.8,3231.5,TRUE,1,0,100,130,10130,0.00997009,1.013,1.013
11/30/18 22:57,3264,3253.4,3233.75,TRUE,1,0,80,210,10210,0.007897335,1.021,1.021
11/30/18 22:58,3257,3255.2,3235.55,TRUE,1,0,-70,140,10140,-0.006856024,1.014,1.014
11/30/18 22:59,3264,3257.4,3237.6,TRUE,1,0,70,210,10210,0.006903353,1.021,1.021
12/3/18 09:00,3449,3298,3248.5,TRUE,1,0,1850,2060,12060,0.181194907,1.206,1.206
12/3/18 09:01,3473,3341.4,3260.8,TRUE,1,0,240,2300,12300,0.019900498,1.23,1.23
12/3/18 09:02,3437,3376,3271.4,TRUE,1,0,-360,1940,11940,-0.029268293,1.194,1.194
12/3/18 09:03,3425,3409.6,3281.5,TRUE,1,0,-120,1820,11820,-0.010050251,1.182,1.182
12/3/18 09:04,3422,3441.2,3291.3,TRUE,1,0,-30,1790,11790,-0.002538071,1.179,1.179
12/3/18 09:05,3400,3431.4,3299.95,TRUE,1,0,-220,1570,11570,-0.018659881,1.157,1.157
12/3/18 09:06,3391,3415,3308.1,TRUE,1,0,-90,1480,11480,-0.007778738,1.148,1.148
12/3/18 09:07,3388,3405.2,3316.15,TRUE,1,0,-30,1450,11450,-0.00261324,1.145,1.145
12/3/18 09:08,3399,3400,3324.75,TRUE,1,0,110,1560,11560,0.009606987,1.156,1.156
12/3/18 09:09,3400,3395.6,3333.4,TRUE,1,0,10,1570,11570,0.000865052,1.157,1.157
12/3/18 09:10,3397,3395,3342,TRUE,1,0,-30,1540,11540,-0.002592913,1.154,1.154
12/3/18 09:11,3394,3395.6,3350.2,TRUE,1,0,-30,1510,11510,-0.002599653,1.151,1.151
12/3/18 09:12,3386,3395.2,3357.45,TRUE,1,0,-80,1430,11430,-0.006950478,1.143,1.143
12/3/18 09:13,3368,3389,3363.45,TRUE,1,0,-180,1250,11250,-0.015748031,1.125,1.125
12/3/18 09:14,3374,3383.8,3369.5,TRUE,1,0,60,1310,11310,0.005333333,1.131,1.131
12/3/18 09:15,3380,3380.4,3376.2,TRUE,1,0,60,1370,11370,0.00530504,1.137,1.137
12/3/18 09:16,3388,3379.2,3382.8,FALSE,-1,160,-80,1450,11450,0.00703606,1.145,1.145
12/3/18 09:17,3384,3378.8,3388.8,FALSE,-1,0,40,1490,11490,0.00349345,1.149,1.149
12/3/18 09:18,3378,3380.8,3394.85,FALSE,-1,0,60,1550,11550,0.005221932,1.155,1.155
12/3/18 09:19,3377,3381.4,3400.5,FALSE,-1,0,10,1560,11560,0.000865801,1.156,1.156
12/3/18 09:20,3370,3379.4,3396.55,FALSE,-1,0,70,1630,11630,0.006055363,1.163,1.163
12/3/18 09:21,3367,3375.2,3391.25,FALSE,-1,0,30,1660,11660,0.002579536,1.166,1.166
12/3/18 09:22,3361,3370.6,3387.45,FALSE,-1,0,60,1720,11720,0.005145798,1.172,1.172
12/3/18 09:23,3361,3367.2,3384.25,FALSE,-1,0,0,1720,11720,0,1.172,1.172
12/3/18 09:24,3361,3364,3381.2,FALSE,-1,0,0,1720,11720,0,1.172,1.172
12/3/18 09:25,3369,3363.8,3379.65,FALSE,-1,0,-80,1640,11640,-0.006825939,1.164,1.164
12/3/18 09:26,3365,3363.4,3378.35,FALSE,-1,0,40,1680,11680,0.003436426,1.168,1.168
12/3/18 09:27,3369,3365,3377.4,FALSE,-1,0,-40,1640,11640,-0.003424658,1.164,1.164
12/3/18 09:28,3363,3365.4,3375.6,FALSE,-1,0,60,1700,11700,0.005154639,1.17,1.17
12/3/18 09:29,3367,3366.6,3373.95,FALSE,-1,0,-40,1660,11660,-0.003418803,1.166,1.166
12/3/18 09:30,3373,3367.4,3372.75,FALSE,-1,0,-60,1600,11600,-0.005145798,1.16,1.16
12/3/18 09:31,3374,3369.2,3371.75,FALSE,-1,0,-10,1590,11590,-0.000862069,1.159,1.159
12/3/18 09:32,3376,3370.6,3371.25,FALSE,-1,0,-20,1570,11570,-0.001725626,1.157,1.157
12/3/18 09:33,3374,3372.8,3371.55,TRUE,1,40,-20,1590,11590,0.001728608,1.159,1.159
12/3/18 09:34,3370,3373.4,3371.35,TRUE,1,0,-40,1550,11550,-0.003451251,1.155,1.155
12/3/18 09:35,3364,3371.6,3370.55,TRUE,1,0,-60,1490,11490,-0.005194805,1.149,1.149
12/3/18 09:36,3363,3369.4,3369.3,TRUE,1,0,-10,1480,11480,-0.000870322,1.148,1.148
12/3/18 09:37,3358,3365.8,3368,FALSE,-1,-100,50,1430,11430,-0.004355401,1.143,1.143
12/3/18 09:38,3360,3363,3367.1,FALSE,-1,0,-20,1410,11410,-0.001749781,1.141,1.141
12/3/18 09:39,3357,3360.4,3366.1,FALSE,-1,0,30,1440,11440,0.002629273,1.144,1.144
12/3/18 09:40,3356,3358.8,3365.4,FALSE,-1,0,10,1450,11450,0.000874126,1.145,1.145
12/3/18 09:41,3363,3358.8,3365.2,FALSE,-1,0,-70,1380,11380,-0.006113537,1.138,1.138
12/3/18 09:42,3366,3360.4,3365.45,FALSE,-1,0,-30,1350,11350,-0.002636204,1.135,1.135
12/3/18 09:43,3362,3360.8,3365.5,FALSE,-1,0,40,1390,11390,0.003524229,1.139,1.139
12/3/18 09:44,3367,3362.8,3365.8,FALSE,-1,0,-50,1340,11340,-0.004389816,1.134,1.134
12/3/18 09:45,3364,3364.4,3365.55,FALSE,-1,0,30,1370,11370,0.002645503,1.137,1.137
12/3/18 09:46,3365,3364.8,3365.55,FALSE,-1,0,-10,1360,11360,-0.000879507,1.136,1.136
12/3/18 09:47,3364,3364.4,3365.3,FALSE,-1,0,10,1370,11370,0.000880282,1.137,1.137
12/3/18 09:48,3361,3364.2,3365.2,FALSE,-1,0,30,1400,11400,0.002638522,1.14,1.14
12/3/18 09:49,3362,3363.2,3364.95,FALSE,-1,0,-10,1390,11390,-0.000877193,1.139,1.139
12/3/18 09:50,3362,3362.8,3364.4,FALSE,-1,0,0,1390,11390,0,1.139,1.139
12/3/18 09:51,3352,3360.2,3363.3,FALSE,-1,0,100,1490,11490,0.008779631,1.149,1.149
12/3/18 09:52,3350,3357.4,3362,FALSE,-1,0,20,1510,11510,0.001740644,1.151,1.151
12/3/18 09:53,3350,3355.2,3360.8,FALSE,-1,0,0,1510,11510,0,1.151,1.151
12/3/18 09:54,3353,3353.4,3359.95,FALSE,-1,0,-30,1480,11480,-0.002606429,1.148,1.148
12/3/18 09:55,3352,3351.4,3359.35,FALSE,-1,0,10,1490,11490,0.00087108,1.149,1.149
